chr	marker	number	pos	agp_pos
1	PZA01271.1	m0001	0	1948104
1	PZA03613.1	m0002	0.9	2913902
1	PZA02129.1	m0003	3.7	3706136
1	PZA02032.1	m0004	5.1	4490541
1	PHM2244.142	m0005	9.7	5562830
1	PZA02372.1	m0006	11.5	6220629
1	PHM6238.36	m0007	13.4	7156079
1	PZA00181.2	m0008	15.6	8366266
1	PZA00175.2	m0010	16.2	8509920
1	PZA00447.8	m0011	17.4	9023654
1	PZA02284.1	m0012	17.9	9273157
1	PZA00566.5	m0014	19.6	9691382
1	PZA00106.10	m0015	20.1	10068913
1	PZA00887.1	m0017	21.9	10934471
1	PZA03551.1	m0018	24.4	12208717
1	PZA01497.1	m0019	29.7	14578593
1	PZA01652.1	m0021	29.9	14898766
1	PZA02094.9	m0022	31.7	15725904
1	PZA02393.2	m0023	33.1	16530728
1	PZB00648.5	m0024	33.9	17595271
1	PZA01030.1	m0026	34.3	17680464
1	PZA00425.11	m0027	37.8	21457350
1	PHM13619.5	m0028	39.2	22281482
1	PZA02487.1	m0029	39.5	22601214
1	PHM4531.46	m0031	39.7	22918232
1	PZB01957.1	m0032	43.2	26283010
1	PZB02058.1	m0033	47.3	28526284
1	PZA02490.1	m0034	51.7	32628027
1	PZA01348.1	m0035	54	34476379
1	PZA02271.1	m0039	56.5	38608085
1	PZA02195.1	m0040	57.2	39288240
1	PZA00240.6	m0041	59	41232105
1	PZA00962.1	m0043	59.9	43832567
1	PZA02376.1	m0044	60.8	44506775
1	PZA00081.18	m0047	61.6	45675300
1	PZA03183.5	m0049	62.1	46065123
1	PZB00872.3	m0050	62.3	46254743
1	PHM4913.18	m0051	64.9	50197417
1	PZA02292.1	m0052	65.7	51407269
1	PZA03168.5	m0053	66	51514962
1	PZA02737.1	m0054	69.1	54049352
1	PZA02550.1	m0055	69.4	55174189
1	PZA02114.1	m0056	69.6	56176049
1	PZB01062.3	m0057	70.3	56846393
1	PZA03561.1	m0058	72	60212531
1	PZA01476.1	m0060	72.5	61207107
1	PZA00294.22	m0061	73.3	63913678
1	PHM5098.25	m0063	74.7	65825341
1	PZA01267.3	m0064	79.9	76053689
1	PZA00752.1	m0065	81.4	80803254
1	PZA01135.1	m0066	82.4	82564256
1	PZA03240.1/2	m0067	84.6	90772724
1	PZA03465.1	m0068	84.9	91279433
1	PHM9418.11	m0071	87.3	96545593
1	PZA02763.1	m0072	87.9	101421509
1	PZA00939.1	m0074	88.6	106026022
1	PZA02070.1	m0076	89.1	114236897
1	csu1138.3/4	m0077	89.3	119018794
1	PZA02577.1	m0078	89.6	148525257
1	PZA03200.2	m0079	89.7	148694657
1	PZA02741.1	m0080	91.4	161072103
1	PZA02135.2	m0081	92	166550096
1	an1.5	m0082	94.9	175504777
1	PZA00455.14/16	m0083	96.5	179852195
1	PZA02191.1	m0084	97.7	182386681
1	PHM1968.22	m0085	98.4	183647878
1	PZA00068.1	m0086	99.2	183831776
1	PZA03531.1	m0087	99.3	184089146
1	PZA00619.3	m0088	108.4	195425308
1	PZA02467.10	m0089	109.9	196928032
1	PZA03074.27	m0090	115	201295913
1	PZA01216.1	m0091	116.2	203035528
1	PZA00131.15	m0092	116.4	203385508
1	PHM5480.17	m0094	116.5	204199175
1	PZA01019.1	m0096	120.3	208143873
1	PZA03194.1	m0097	123.7	212244253
1	PZA02014.3	m0100	124.2	212557594
1	PZA03265.3	m0102	125.9	214745556
1	PHM6043.19	m0103	127.6	216926935
1	PHM15871.11	m0105	129.8	222427674
1	PZA02117.1	m0107	131.6	223466324
1	PZA00658.21	m0108	132.9	224518354
1	PZA02823.1	m0109	133.9	226013252
1	PHM2478.22	m0110	134	226781929
1	PZA00664.3	m0112	134.7	227542497
1	umc128.2	m0113	134.8	227601829
1	PZA02186.1	m0114	135.2	227896495
1	PZA03001.15	m0115	137.6	231037638
1	PZA00381.4	m0117	140.2	237638987
1	PZA03301.2	m0118	141.9	240574106
1	PZA03064.6	m0120	146	248503059
1	PZA03404.1	m0122	147.9	249259302
1	PZA02269.3/4	m0123	149.7	252722135
1	kip1.3	m0125	152	255577895
1	PHM14475.7	m0126	152.4	256245456
1	glb1.2	m0127	153.4	257414765
1	PZA01588.1	m0128	155.6	258495222
1	PZA00339.4	m0129	156.5	260297447
1	PZA01921.20/19	m0130	156.6	261313444
1	PHM5526.25	m0131	157.1	261859161
1	PZA02985.5	m0132	157.6	262339688
1	PZA03457.1	m0133	157.7	262715629
1	PZB00008.1	m0134	162.2	268372237
1	PZA02278.1	m0137	162.8	270002110
1	PZA02698.3	m0138	164.6	272319100
1	PZA00030.11	m0139	167.8	275076503
1	PZB00114.1	m0141	169.1	275983276
1	PZA01978.23	m0142	169.2	276644729
1	PZA02204.1	m0143	171.4	278691038
1	PZA00610.16	m0144	174.6	280214764
1	PZA03188.3	m0145	175.7	280719450
1	PZA02957.5	m0146	176.9	281818335
1	PZA00978.1	m0148	177.5	282929354
1	PZA02087.2	m0150	178.5	284056415
1	PZA00245.20	m0151	179.1	284407626
1	PHM18705.23	m0152	179.4	284564457
1	PZB01403.1	m0153	180	285274085
1	PZA00894.7	m0154	180.9	285891989
1	PZA03037.2	m0155	181.3	285977518
1	PZA03305.7/1	m0156	181.9	286642818
1	PZB01227.6	m0157	185	288440978
1	PZA02044.1	m0158	188.2	290807497
1	PZA00307.14	m0159	191.5	291983802
1	PZA00276.18	m0160	191.7	292092440
