sample	t1	m839	m840	m841	m842	m843	m844	m845	m846	m847	m848	m849	m850	m851	m852	m853	m854	m855	m856	m857	m858	m859	m860	m861	m862	m863	m864	m865	m866	m867	m868	m869	m870	m871	m872	m873	m874	m875	m876	m877	m878	m879	m880	m881	m882	m883	m884	m885	m886	m887	m888	m889	m890	m891	m892	m893	m894	m895	m896	m897	m898	m899	m900	m901	m902	m903	m904	m905	m906	m907	m908	m909	m910	m911	m912	m913	m914	m915	m916	m917	m918	m919	m920	m921	m922	m923	m924	m925	m926	m927	m928	m929	m930	m931	m932	m933	m934	m935	m936	m937	m938	m939	m940	m941	m942	m943	m944	t2
MO001	0.1985530813795925	0.19600000000000004	0.0	0.19178082191780801	1.36986301369863	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.6249999999999996	1.6249999999999996	1.2187500000000007	1.1875000000000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8888888888888872	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.6428571428571426	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4637681159420295	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO003	0.1985530813795925	0.19600000000000004	0.0	0.19178082191780801	1.36986301369863	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3439490445859876	0.573248407643312	0.573248407643312	1.0955414012738862	1.1719745222929938	1.273885350318471	1.3248407643312108	1.3630573248407645	1.3757961783439503	1.4012738853503182	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.387755102040817	1.020408163265305	0.3265306122448963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02800000000000023	0.06860376437779195
MO005	0.1985530813795925	0.19600000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.8727272727272721	1.472727272727273	1.0363636363636357	0.9818181818181815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO007	1.8014469186204076	1.804	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.8727272727272721	1.472727272727273	1.0363636363636357	0.9818181818181815	0.0	0.9230769230769248	0.9230769230769248	1.923076923076922	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5555555555555565	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.5362318840579705	0.0	0.0	1.400000000000001	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO008	1.8014469186204076	1.804	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.45045045045044985	0.37837837837837807	0.036036036036035224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9230769230769248	0.9230769230769248	1.923076923076922	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO009	0.1985530813795925	0.19600000000000004	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO010	1.8014469186204076	1.804	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.8727272727272721	1.472727272727273	1.0363636363636357	0.9818181818181815	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3439490445859876	0.573248407643312	0.573248407643312	1.0955414012738862	1.1719745222929938	1.273885350318471	1.3248407643312108	1.3630573248407645	1.3757961783439503	1.4012738853503182	2.0	2.0	2.0	2.0	1.2857142857142851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO011	1.0	1.0	1.0	0.904109589041096	0.31506849315068497	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0636363636363639	0.2636363636363635	0.4818181818181822	0.5090909090909093	1.0	1.4615384615384626	1.4615384615384626	1.961538461538461	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.2765957446808502	2.0	1.5362318840579705	0.0	1.0	0.2999999999999995	0.0	0.0	0.0	0.0	2.0	1.972	1.931396235622208
MO012	0.1985530813795925	0.19600000000000004	0.0	0.19178082191780801	1.36986301369863	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9230769230769248	0.9230769230769248	1.923076923076922	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.57894736842105	0.47368421052631904	0.36842105263158076	0.31578947368420773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3439490445859876	0.573248407643312	0.573248407643312	1.0955414012738862	1.1719745222929938	1.273885350318471	1.3248407643312108	1.3630573248407645	1.3757961783439503	1.4012738853503182	2.0	2.0	2.0	2.0	1.2857142857142851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
MO013	1.8014469186204076	1.804	2.0	1.808219178082192	0.6301369863013699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1272727272727278	0.527272727272727	0.9636363636363644	1.0181818181818185	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.3439490445859876	0.573248407643312	0.573248407643312	1.0955414012738862	1.1719745222929938	1.273885350318471	1.3248407643312108	1.3630573248407645	1.3757961783439503	1.4012738853503182	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.972	1.931396235622208
