sample	t1	m945	m946	m947	m948	m949	m950	m951	m952	m953	m954	m955	m956	m957	m958	m959	m960	m961	m962	m963	m964	m965	m966	m967	m968	m969	m970	m971	m972	m973	m974	m975	m976	m977	m978	m979	m980	m981	m982	m983	m984	m985	m986	m987	m988	m989	m990	m991	m992	m993	m994	m995	m996	m997	m998	m999	m1000	m1001	m1002	m1003	m1004	m1005	m1006	m1007	m1008	m1009	m1010	m1011	m1012	m1013	m1014	m1015	m1016	m1017	m1018	m1019	m1020	m1021	m1022	m1023	m1024	m1025	m1026	m1027	m1028	m1029	t2
MO001	1.9389252443788445	2.0	0.7826086956521738	0.5893719806763285	0.20289855072463747	0.20289855072463747	0.19323671497584538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714285	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.9438364258612661
MO003	0.06107475562115555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.9438364258612661
MO005	1.9389252443788445	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.396825396825397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7999999999999987	1.2444444444444431	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.05616357413873391
MO007	0.06107475562115555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9024390243902425	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.5624999999999999	1.9687500000000018	2.0	2.0	1.9438364258612661
MO008	0.06107475562115555	0.0	0.0	0.4938271604938272	1.481481481481482	1.481481481481482	1.5061728395061729	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.2000000000000013	0.7555555555555569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.1666666666666687	0.9999999999999882	0.9999999999999882	0.16666666666665675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.9438364258612661
MO009	1.9389252443788445	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0344827586206895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	1.0	0.6000000000000006	0.37777777777777843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19047619047619305	2.0	2.0	2.0	2.0	2.0	2.0	0.8750000000000027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.9438364258612661
MO010	1.9389252443788445	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9655172413793105	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.2000000000000013	0.7555555555555569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19047619047619305	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.746031746031747	1.7142857142857124	1.5873015873015879	0.4126984126984119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05616357413873391
MO011	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5172413793103448	1.0	1.0	2.0	2.0	1.818181818181818	1.5714285714285712	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.3709677419354835	1.338709677419354	1.225806451612903	1.1612903225806452	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.2839506172839505	1.2962962962962963	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05616357413873391
MO012	0.06107475562115555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.4615384615384581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.8333333333333314	1.0000000000000118	1.0000000000000118	1.8333333333333433	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.71875	1.0156249999999991	1.0	0.0	0.05616357413873391
MO013	0.06107475562115555	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.746031746031747	1.7142857142857124	1.5873015873015879	0.4126984126984119	0.0	0.0	0.0	0.0	0.5624999999999999	1.9687500000000018	2.0	2.0	1.9438364258612661
